GTD,#023,Triarsi Competizione,Ferrari 296 GT3,,184,,2,,28
GTD,#12,Vasser Sullivan,Lexus RC F GT3,,187,,3,,27
GTD,#13,AWA Racing,Corvette Z06 GT3.R,,182,,2,,26
GTD,#27,Heart of Racing Team,Aston Martin Vantage AMR GT3 Evo,,188,,4,,25
GTD,#32,Korthoff/Preston Motorsports,Mercedes-AMG GT3 Evo,,186,,3,,29
GTD,#34,Conquest Racing,Ferrari 296 GT3,,186,,3,,28
GTD,#43,Andretti Motorsports,Porsche 911 GT3 R,,184,,2,,27
GTD,#45,Wayne Taylor Racing with Andretti,Lamborghini Huracan GT3 Evo 2,,185,,4,,26
GTD,#47,Cetilar Racing,Ferrari 296 GT3,,185,,3,,28
GTD,#55,Proton Competition,Ford Mustang GT3,,185,,4,,27
GTD,#57,Winward Racing,Mercedes-AMG GT3 Evo,,189,,5,,29
GTD,#66,Gradient Racing,Acura NSX GT3 Evo22,,182,,3,,29
GTD,#70,Inception Racing,McLaren 720S GT3 Evo,,187,,4,,24
GTD,#78,Forte Racing,Lamborghini Huracan GT3 Evo 2,,185,,4,,29
GTD,#86,MDK Motorsports,Porsche 911 GT3 R,,183,,3,,28
GTD,#96,Turner Motorsports,BMW M4 GT3,,188,,4,,27
GTD,#120,Wright Motorsports,Porsche 911 GT3 R,,183,,2,,26
