GTP,#01,Cadillac Racing,Cadillac V-Series.R,,98,99,,3,,27
GTP,#5,Proton Competition,Porsche 963,,96,98,,2,,28
GTP,#6,Porsche Penske Motorsport,Porsche 963,,100,99,,4,,29
GTP,#7,Porsche Penske Motorsport,Porsche 963,,100,99,,4,,29
GTP,#10,Wayne Taylor Racing with Andretti,Acura ARX-06,,99,98,,4,,30
GTP,#40,Wayne Taylor Racing with Andretti,Acura ARX-06,,99,98,,4,,28
GTP,#24,BMW M Team RLL,BMW M Hybrid V8,,96,97,,2,,27
GTP,#25,BMW M Team RLL,BMW M Hybrid V8,,96,97,,2,,28
GTP,#31,Whelen Cadillac Racing,Cadillac V-Series.R,,100,99,,5,,29
GTP,#63,Lamborghini - Iron Lynx,Lamborghini SC63,,97,97,,2,,27
GTP,#85,JDC-Miller Motorsports,Porsche 963,,97,96,,2,,28
