LMP2,#04,CrowdStrike Racing by APR,Oreca 07,,98,89,,4,,28
LMP2,#2,United Autosports USA,Oreca 07,,99,89,,5,,29
LMP2,#22,United Autosports USA,Oreca 07,,99,87,,2,,27
LMP2,#8,Tower Motorsports,Oreca 07,,98,88,,4,,28
LMP2,#11,TDS Racing,Oreca 07,,98,89,,5,,29
LMP2,#18,ERA Motorsports,Oreca 07,,99,88,,3,,27
LMP2,#20,High Class Racing,Oreca 07,,96,86,,2,,26
LMP2,#33,Sean Creen Motorsport,Ligier JS P217,,97,86,,1,,21
LMP2,#52,Inter Europol by PR1/Mathiasen Motorsports,Oreca 07,,98,87,,3,,28
LMP2,#74,Riley,Oreca 07,,96,86,,2,,27
LMP2,#88,Richard Mille AF Corse,Oreca 07,,97,87,,4,,26
LMP2,#99,AO Racing,Oreca 07,,98,89,,5,,28
