LMGTP,#2,Cadillac Racing,Cadillac V-Series.R,,195,,2,,25
LMGTP,#5,Porsche Penske Motorsport,Porsche 963,,197,,3,,27
LMGTP,#6,Porsche Penske Motorsport,Porsche 963,,199,,5,,29
LMGTP,#7,Toyota Gazoo Racing,Toyota GR010 Hybrid,,200,,5,,29
LMGTP,#8,Toyota Gazoo Racing,Toyota GR010 Hybrid,,199,,5,,30
LMGTP,#11,Isotta Fraschini,Isotta Fraschini Tipo 6 LMH-C,,187,,0,,28
LMGTP,#12,Hertz Team Jota,Porsche 963,,197,,4,,27
LMGTP,#38,Hertz Team Jota,Porsche 963,,195,,3,,29
LMGTP,#15,BMW M Team WRT,BMW M Hybrid V8,,195,,3,,28
LMGTP,#20,BMW M Team WRT,BMW M Hybrid V8,,196,,3,,27
LMGTP,#35,Alpine Endurance Team,Alpine A424,,194,,3,,27
LMGTP,#36,Alpine Endurance Team,Alpine A424,,194,,2,,27
LMGTP,#50,Ferrari AF Corse,Ferrari 499P,,198,,4,,28
LMGTP,#51,Ferrari AF Corse,Ferrari 499P,,197,,4,,26
LMGTP,#83,AF Corse,Ferrari 499P,,197,,4,,27
LMGTP,#63,Lamborghini Iron Lynx,Lamborghini SC63,,194,,2,,29
LMGTP,#93,Peugeot TotalEnergies,Peugeot 9X8 LMH,,193,,2,,27
LMGTP,#94,Peugeot TotalEnergies,Peugeot 9X8 LMH,,192,,3,,26
LMGTP,#99,Proton Competiton,Porsche 963,,194,,3,,28
