GTD PRO,#1,Paul Miller Racing,BMW M4 GT3,,196,,3,,27
GTD PRO,#3,Corvette Racing by Pratt Miller Motorsports,Corvette Z06 GT3.R,,196,,4,,24
GTD PRO,#4,Corvette Racing by Pratt Miller Motorsports,Corvette Z06 GT3.R,,197,,4,,25
GTD PRO,#9,Pfaff Motorsports,McLaren 720S GT3 Evo,,195,,3,,25
GTD PRO,#14,Vasser Sullivan,Lexus RC F GT3,,200,,5,,29
GTD PRO,#19,Iron Lynx,Lamborghini Huracan GT3 Evo 2,,194,,3,,28
GTD PRO,#23,Heart of Racing Team,Aston Martin Vantage AMR GT3 Evo,,197,,4,,29
GTD PRO,#62,Risi Competizione,Ferrari 296 GT3,,197,,5,,27
GTD PRO,#64,Ford Multimatic Motorsports,Ford Mustang GT3,,194,,3,,26
GTD PRO,#65,Ford Multimatic Motorsports,Ford Mustang GT3,,195,,2,,25
GTD PRO,#77,AO Racing,Porsche 911 GT3 R,,197,,4,,29
